County ,County Code,Media Market,Newspaper,Year Code,Winner,Loser,endorsewin,countyid
Wakulla,65,Tallahassee,Tallahassee Democrat,1994,,,0,651994
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,91994
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,251994
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,271994
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,281994
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,291994
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,411994
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,511994
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,521994
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,531994
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,561994
Alachua,1,Gainesville,The Gainesville Sun,1994,1,0,1,11994
Dixie,15,Gainesville,The Gainesville Sun,1994,1,0,1,151994
Gilchrist,21,Gainesville,The Gainesville Sun,1994,1,0,1,211994
Levy,38,Gainesville,The Gainesville Sun,1994,1,0,1,381994
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,61994
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,131994
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,441994
Bay ,3,Panama City,The News Herald,1994,,,0,31994
Calhoun,7,Panama City,The News Herald,1994,,,0,71994
Franklin,19,Panama City,The News Herald,1994,,,0,191994
Gulf,23,Panama City,The News Herald,1994,,,0,231994
Holmes,30,Panama City,The News Herald,1994,,,0,301994
Jackson,32,Panama City,The News Herald,1994,,,0,321994
Liberty,39,Panama City,The News Herald,1994,,,0,391994
Walton,66,Panama City,The News Herald,1994,,,0,661994
Washington,67,Panama City,The News Herald,1994,,,0,671994
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,311994
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,431994
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,471994
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,501994
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,591994
